94.3	8.2	51	0	no
669.1	18	33	0	no
686.9	14.6	33	0	no
77.5	8.3	97	0.2	no
102.2	11.4	99	0	no
488	22.2	29	0	no
495.6	24.1	27	0	no
608.2	8	86	0	no
692.6	13.1	63	0	no
698.6	22.8	40	0	no
698.6	17.8	51	0	no
713	19.3	38	0	no
665.3	17	72	0	no
686.5	21.3	42	0	no
699.6	26.4	21	0	no
713.9	22.9	44	0	no
80.8	15.1	27	0	no
664.2	16.7	47	0	no
70.8	15.9	35	0	no
97.1	9.3	44	0	no
692.6	18.3	40	0	no
724.3	19.1	38	0	no
200	21	44	0	no
537.4	19.5	43	0	no
594.2	23.7	32	0	no
601.4	16.3	60	0	no
668	19	34	0	no
686.5	19.4	48	0	no
721.4	30.2	24	0	no
728.6	22.8	39	0	no
692.3	25.4	24	0	no
709.9	11.2	78	0	no
706.8	20.6	37	0	no
718.3	17.7	39	0	no
724.3	21.2	32	0	no
730.2	18.2	62	0	no
669.1	21.7	24	0	no
682.6	11.3	60	0	no
686.9	17.8	27	0	no
67.6	14.1	43	0	no
366.7	23.3	37	0	no
624.2	18.4	42	0	no
647.1	16.6	54	0	no
698.6	19.6	48	0	no
735.7	12.9	74	0	no
692.3	25.9	24	0	no
686.5	14.7	70	0	no
442.9	23	36	0	no
64.7	11.8	35	0	no
103.8	11	46	0	no
706.4	20.8	17	0	no
631.2	21.5	34	0	no
654.1	20.4	42	0	no
654.1	20.4	42	0	no
661.3	17.6	45	0	no
706.4	27.7	24	0	no
730.2	17.8	63	0	no
691.8	13.8	50	0	no
34	13.9	40	0	no
43	12.3	51	0	no
102.2	11.5	39	0	no
102.2	5.5	59	0	no
466.6	18.8	35	0	no
631.2	20.8	33	0	no
638.8	23.1	31	0	no
661.3	18.6	44	0	no
668	23	37	0	no
668	19.6	33	0	no
668	19.6	33	0	no
77.5	17.2	26	0	no
97.8	15.8	27	0	no
692.3	17.7	37	0	no
77.5	15.6	25	0	no
614.5	17.3	43	0	no
713.9	27.6	30	0	no
26.6	6.7	79	0	no
43	15.7	43	0	no
103.8	8.3	72	0	no
529.8	14.7	66	0	no
561.6	21.6	19	0	no
601.4	19.5	39	0	no
631.2	17.9	44	0	no
647.1	18.6	51	0	no
654.1	16.6	47	0	no
661.3	20.2	45	0	no
